Dataset,Over Sample?,Biased Initialization?,Optimization,Baseline Test Accuracy,Baseline IR,Optimized Test Accuracy,Optimized IR,Reduction Rate %,Optimized Test Acc Diff
bupa,regular_sample,bias,2Obj,0.6011494252873563,1.3888888888888888,0.5873563218390805,1.2965788509735878,70.81395348837209,-0.013793103448275779
glass1,regular_sample,bias,2Obj,0.7685185185185185,1.815789473684211,0.6888888888888889,1.3824242424242423,78.8785046728972,-0.0796296296296296
magic,regular_sample,bias,2Obj,0.8318401682439538,1.8438995215311003,0.8311882229232387,1.2291656843344014,52.4143007360673,-0.0006519453207151082
phoneme,regular_sample,bias,2Obj,0.8629163582531459,2.407313997477932,0.8493708364174685,1.600685622715567,58.82679496669134,-0.013545521835677476
pima,regular_sample,bias,2Obj,0.7119791666666666,1.8656716417910448,0.7401041666666667,1.2683772319916713,72.5,0.028125000000000067
segment0,regular_sample,bias,2Obj,0.9908145580589256,6.006733185513673,0.9831889081455805,3.1212776856743223,88.57019064124783,-0.007625649913345134
sonar,regular_sample,bias,2Obj,0.7596153846153847,1.157823129251701,0.7365384615384615,1.1199776040952512,71.0576923076923,-0.023076923076923217
vehicle0,regular_sample,bias,2Obj,0.9283018867924527,3.2556363636363637,0.9004716981132075,1.793013521702281,79.33806146572104,-0.02783018867924525
yeast1,regular_sample,bias,2Obj,0.7460916442048517,2.457613562269072,0.7283018867924528,1.6072471689054424,67.64150943396226,-0.017789757412398965
australian,regular_sample,bias,3Obj,0.846242774566474,1.247580850522027,0.8335260115606935,1.866638642332017,50.14492753623188,-0.012716763005780507
bupa,regular_sample,bias,3Obj,0.5770114942528736,1.3888888888888888,0.6252873563218391,2.2133333247622913,57.32558139534884,0.0482758620689655
glass1,regular_sample,bias,3Obj,0.7648148148148148,1.815789473684211,0.725925925925926,1.270667470422619,54.67289719626168,-0.03888888888888886
magic,regular_sample,bias,3Obj,0.8300736067297582,1.8438995215311003,0.824143007360673,1.0731857632445867,46.077812828601466,-0.005930599369085132
phoneme,regular_sample,bias,3Obj,0.8608438193930421,2.407313997477932,0.8472982975573649,1.216857546822478,49.98149518874907,-0.013545521835677254
pima,regular_sample,bias,3Obj,0.7213541666666667,1.8656716417910448,0.7125,1.2668042059132756,57.109375,-0.008854166666666718
segment0,regular_sample,bias,3Obj,0.9892547660311957,6.019526977087953,0.9811091854419409,1.7763987520849018,66.75909878682842,-0.008145580589254742
sonar,regular_sample,bias,3Obj,0.7634615384615384,1.1445578231292517,0.7557692307692307,1.8075565395702693,49.615384615384606,-0.007692307692307665
vehicle0,regular_sample,bias,3Obj,0.9235849056603772,3.247090909090909,0.8943396226415095,1.349173998757956,59.101654846335705,-0.02924528301886775
yeast1,regular_sample,bias,3Obj,0.7409703504043128,2.4560008693762225,0.7253369272237197,1.1785078751916562,54.9056603773585,-0.01563342318059313
australian,regular_sample,bias,MinMajAcc,0.8479768786127166,1.2490450725744844,0.8450867052023122,1.0994604576555957,43.10144927536232,-0.0028901734104044285
bupa,regular_sample,bias,MinMajAcc,0.6080459770114942,1.3888888888888888,0.632183908045977,1.1862263053778763,47.732558139534895,0.024137931034482807
glass1,regular_sample,bias,MinMajAcc,0.7759259259259259,1.815789473684211,0.7666666666666666,1.5738946497184483,49.1588785046729,-0.0092592592592593
magic,regular_sample,bias,MinMajAcc,0.8321345951629862,1.8438995215311003,0.8318401682439538,1.3251502124516361,43.28706624605678,-0.0002944269190323645
phoneme,regular_sample,bias,MinMajAcc,0.85840118430792,2.407313997477932,0.8530717986676535,1.8041542297406725,43.80458919319023,-0.005329385640266526
pima,regular_sample,bias,MinMajAcc,0.7338541666666667,1.8656716417910448,0.7255208333333333,1.4656260376251704,47.942708333333336,-0.008333333333333415
segment0,regular_sample,bias,MinMajAcc,0.989948006932409,6.015262379896527,0.9909878682842287,4.92768636188296,47.417677642980934,0.0010398613518196598
sonar,regular_sample,bias,MinMajAcc,0.7846153846153847,1.1445578231292517,0.7461538461538462,1.1735046442188497,45.0,-0.03846153846153855
vehicle0,regular_sample,bias,MinMajAcc,0.9231132075471699,3.2513636363636365,0.9202830188679245,2.678595448758551,45.53191489361703,-0.002830188679245338
yeast1,regular_sample,bias,MinMajAcc,0.7477088948787063,2.457613562269072,0.7425876010781671,1.9138854467248767,46.02425876010781,-0.005121293800539162
australian,regular_sample,rand,2Obj,0.8352601156069364,1.2505092946269416,0.8225433526011561,1.2384734924211285,80.63768115942028,-0.012716763005780285
bupa,regular_sample,rand,2Obj,0.6022988505747127,1.3888888888888888,0.6183908045977011,1.4195734657499364,76.3953488372093,0.016091954022988464
glass1,regular_sample,rand,2Obj,0.7388888888888888,1.815789473684211,0.7,1.491880341880342,74.48598130841121,-0.03888888888888886
magic,regular_sample,rand,2Obj,0.8319032597266036,1.8438995215311003,0.8305573080967402,1.7712326548418207,59.36172450052577,-0.0013459516298633956
phoneme,regular_sample,rand,2Obj,0.8579570688378979,2.407313997477932,0.843819393042191,2.171637703754324,63.815692079940774,-0.014137675795706905
pima,regular_sample,rand,2Obj,0.728125,1.8656716417910448,0.7307291666666667,1.6042040338476924,76.328125,0.0026041666666666297
segment0,regular_sample,rand,2Obj,0.9896013864818023,6.0109977827050995,0.9873483535528598,5.586691812117676,89.54072790294629,-0.002253032928942522
sonar,regular_sample,rand,2Obj,0.7653846153846154,1.140136054421769,0.7019230769230769,1.170965325524149,80.38461538461539,-0.06346153846153857
vehicle0,regular_sample,rand,2Obj,0.9287735849056602,3.242818181818182,0.8877358490566039,2.069473509582205,83.451536643026,-0.041037735849056345
yeast1,regular_sample,rand,2Obj,0.7552560646900269,2.4576135622690716,0.7536388140161725,2.36430293731249,74.32614555256063,-0.0016172506738544312
australian,regular_sample,rand,3Obj,0.8450867052023121,1.2475808505220267,0.8468208092485549,1.510514978077478,60.89855072463767,0.001734104046242746
bupa,regular_sample,rand,3Obj,0.5896551724137931,1.3888888888888888,0.5793103448275863,2.5153698466566112,62.209302325581405,-0.010344827586206806
glass1,regular_sample,rand,3Obj,0.7555555555555556,1.815789473684211,0.7277777777777779,1.1920126474832358,58.598130841121495,-0.02777777777777779
magic,regular_sample,rand,3Obj,0.831230283911672,1.8438995215311003,0.8262881177707676,1.3801603916971228,53.67087276550999,-0.004942166140904369
phoneme,regular_sample,rand,3Obj,0.8621761658031089,2.407313997477932,0.8444115470022207,1.5059134555439007,55.19985196150999,-0.0177646188008882
