Dataset,Over Sample?,Biased Initialization?,Optimization,Baseline Test Accuracy,Baseline IR,Optimized Test Accuracy,Optimized IR,Reduction Rate %,Optimized Test Acc Diff
bupa,regular_sample,bias,MinMajAcc,0.608045977011494,1.38888888888889,0.936046511627907,1.30669465291817,47.91,0.328000534616413
glass1,regular_sample,bias,MinMajAcc,0.775925925925926,1.81578947368421,0.945283018867925,1.32503128916172,48.97,0.169357092941999
magic,regular_sample,bias,MinMajAcc,0.832134595162986,1.8438995215311,0.876719242902208,1.28286853025952,43.24,0.044584647739222
phoneme,regular_sample,bias,MinMajAcc,0.85840118430792,2.40731399747793,0.921909696521095,1.68186639773942,43.87,0.0635085122131753
pima,regular_sample,bias,MinMajAcc,0.733854166666667,1.86567164179104,0.917708333333333,1.35038271895342,47.19,0.183854166666667
segment0,regular_sample,bias,MinMajAcc,0.989948006932409,6.01526237989653,0.99844020797227,4.92768636188296,47.42,0.00849220103986137
sonar,regular_sample,bias,MinMajAcc,0.784615384615385,1.14455782312925,0.984615384615385,1.23393186423078,45.10,0.2
vehicle0,regular_sample,bias,MinMajAcc,0.92311320754717,3.25136363636364,0.992890995260664,2.67042649008313,45.72,0.0697777877134936
yeast1,regular_sample,bias,MinMajAcc,0.747708894878706,2.45761356226907,0.893261455525606,1.69229997986426,46.58,0.1455525606469
australian,regular_sample,rand,2Obj,0.835260115606936,1.25050929462694,0.949418604651163,1.23847349242113,80.64,0.114158489044226
bupa,regular_sample,rand,2Obj,0.602298850574713,1.38888888888889,1,1.41957346574994,76.40,0.397701149425287
glass1,regular_sample,rand,2Obj,0.738888888888889,1.81578947368421,1,1.49188034188034,74.49,0.261111111111111
magic,regular_sample,rand,2Obj,0.831903259726604,1.8438995215311,0.86801261829653,1.77123265484182,59.36,0.0361093585699265
phoneme,regular_sample,rand,2Obj,0.857957068837898,2.40731399747793,0.907179866765359,2.17163770375432,63.82,0.0492227979274611
pima,regular_sample,rand,2Obj,0.728125,1.86567164179104,0.896875,1.60420403384769,76.33,0.16875
segment0,regular_sample,rand,2Obj,0.989601386481802,6.0109977827051,0.999826689774697,5.58669181211768,89.54,0.0102253032928945
sonar,regular_sample,rand,2Obj,0.765384615384615,1.14013605442177,1,1.17096532552415,80.38,0.234615384615385
vehicle0,regular_sample,rand,2Obj,0.92877358490566,3.24281818181818,0.990521327014218,2.06947350958221,83.45,0.0617477421085577
yeast1,regular_sample,rand,2Obj,0.755256064690027,2.45761356226907,0.868194070080863,2.36430293731249,74.33,0.112938005390836
australian,regular_sample,rand,3Obj,0.845086705202312,1.24758085052203,0.911046511627907,2.12790199760784,45.30,0.0659598064255951
bupa,regular_sample,rand,3Obj,0.589655172413793,1.38888888888889,0.823255813953489,3.97965763011469,38.78,0.233600641539695
glass1,regular_sample,rand,3Obj,0.755555555555556,1.81578947368421,0.926415094339623,1.48811810095618,42.34,0.170859538784067
magic,regular_sample,rand,3Obj,0.831230283911672,1.8438995215311,0.85478443743428,1.30955787021951,51.23,0.0235541535226078
phoneme,regular_sample,rand,3Obj,0.862176165803109,2.40731399747793,0.890673575129534,1.38701341068219,51.21,0.028497409326425
pima,regular_sample,rand,3Obj,0.727604166666667,1.86567164179104,0.8453125,1.38893222003786,47.47,0.117708333333333
segment0,regular_sample,rand,3Obj,0.990121317157712,6.01952697708795,0.998266897746967,2.44030319505781,59.16,0.00814558058925496
sonar,regular_sample,rand,3Obj,0.771153846153846,1.14897959183673,0.944230769230769,2.44949558383466,37.60,0.173076923076923
vehicle0,regular_sample,rand,3Obj,0.933490566037736,3.25990909090909,0.980094786729858,1.38297552089816,52.84,0.046604220692122
yeast1,regular_sample,rand,3Obj,0.743396226415094,2.45922625516192,0.833423180592992,1.13601216929644,49.92,0.0900269541778975
